Table Name,Status,Action
lged_sections,Not in Unified Manager,REVIEW / ADD TO UNIFIED
lged_zone_mapping,Not in Unified Manager,REVIEW / ADD TO UNIFIED
lged_zone_rates,Not in Unified Manager,REVIEW / ADD TO UNIFIED
login_attempts,Not in Unified Manager,REVIEW / ADD TO UNIFIED
market_intelligence,Not in Unified Manager,REVIEW / ADD TO UNIFIED
match,Not in Unified Manager,REVIEW / ADD TO UNIFIED
metadata_store,Not in Unified Manager,REVIEW / ADD TO UNIFIED
methodology,Not in Unified Manager,REVIEW / ADD TO UNIFIED
my_table,Not in Unified Manager,REVIEW / ADD TO UNIFIED
mytable,Not in Unified Manager,REVIEW / ADD TO UNIFIED
nbsignatures,Not in Unified Manager,REVIEW / ADD TO UNIFIED
newsletter,Not in Unified Manager,REVIEW / ADD TO UNIFIED
not,Not in Unified Manager,REVIEW / ADD TO UNIFIED
notes,Not in Unified Manager,REVIEW / ADD TO UNIFIED
notifications,Not in Unified Manager,REVIEW / ADD TO UNIFIED
objects,Not in Unified Manager,REVIEW / ADD TO UNIFIED
of,Not in Unified Manager,REVIEW / ADD TO UNIFIED
options,Not in Unified Manager,REVIEW / ADD TO UNIFIED
output,Not in Unified Manager,REVIEW / ADD TO UNIFIED
output_history,Not in Unified Manager,REVIEW / ADD TO UNIFIED
password_reset_tokens,Not in Unified Manager,REVIEW / ADD TO UNIFIED
past_tender_response,Not in Unified Manager,REVIEW / ADD TO UNIFIED
payments,Not in Unified Manager,REVIEW / ADD TO UNIFIED
permissions,Not in Unified Manager,REVIEW / ADD TO UNIFIED
personnel,Not in Unified Manager,REVIEW / ADD TO UNIFIED
personnel_experience,Not in Unified Manager,REVIEW / ADD TO UNIFIED
phrase,Not in Unified Manager,REVIEW / ADD TO UNIFIED
price_change_logs,Not in Unified Manager,REVIEW / ADD TO UNIFIED
project_image,Not in Unified Manager,REVIEW / ADD TO UNIFIED
projects,Not in Unified Manager,REVIEW / ADD TO UNIFIED
public,Not in Unified Manager,REVIEW / ADD TO UNIFIED
pwd_change_log,Not in Unified Manager,REVIEW / ADD TO UNIFIED
pwd_chapters,Not in Unified Manager,REVIEW / ADD TO UNIFIED
pwd_children,Not in Unified Manager,REVIEW / ADD TO UNIFIED
pwd_import_batches,Not in Unified Manager,REVIEW / ADD TO UNIFIED
pwd_import_history,Not in Unified Manager,REVIEW / ADD TO UNIFIED
